# ETP Sico - Servidor SICO-SRV01 - registo de acessos
# Formato: DATA HORA | NIVEL | MENSAGEM | user=<utilizador> | ip=<endereco>
# Niveis: INFO (normal) | WARN (aviso) | FAILED (autenticacao falhada)
2026-09-14 08:03:26 | FAILED | login falhou | user=test | ip=212.55.9.201
2026-09-14 19:14:30 | FAILED | login falhou | user=admin | ip=103.77.12.104
2026-09-14 19:56:50 | INFO | password alterada | user=igor | ip=192.168.10.27
2026-09-14 19:59:49 | INFO | ficheiro aberto | user=daniel | ip=192.168.10.31
2026-09-14 20:12:59 | INFO | backup concluido | user=igor | ip=192.168.10.14
2026-09-14 20:19:18 | INFO | login OK | user=igor | ip=192.168.10.14
2026-09-14 20:28:47 | INFO | login OK | user=igor | ip=192.168.10.31
2026-09-14 20:33:08 | FAILED | login falhou | user=root | ip=41.203.7.88
2026-09-14 20:36:07 | INFO | sessao terminada | user=afonso | ip=192.168.10.55
2026-09-14 20:44:42 | FAILED | login falhou | user=sa | ip=41.203.7.88
2026-09-14 20:50:49 | FAILED | login falhou | user=test | ip=103.77.12.104
2026-09-14 21:02:12 | FAILED | login falhou | user=oracle | ip=45.155.205.233
2026-09-14 21:16:43 | FAILED | login falhou | user=oracle | ip=41.203.7.88
2026-09-14 21:21:59 | WARN | latencia elevada | user=- | ip=192.168.10.31
2026-09-14 21:37:47 | INFO | sessao terminada | user=ricardo | ip=192.168.10.27
2026-09-14 21:44:42 | FAILED | login falhou | user=pi | ip=45.155.205.233
2026-09-14 21:45:35 | FAILED | login falhou | user=root | ip=41.203.7.88
